id,year_birth,education,marital_status,income,income_r$,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,age
4047,1954,phd,married,"R$ 65.324,00","6532400,00%",0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71
1409,1951,graduation,together,"R$ 40.689,00","4068900,00%",0,1,,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74
7892,1969,graduation,single,"R$ 18.589,00","1858900,00%",0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56
2404,1976,graduation,married,"R$ 53.359,00","5335900,00%",1,1,,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49
5255,1986,graduation,single,,,1,0,,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,39
9422,1989,graduation,married,"R$ 38.360,00","3836000,00%",1,0,,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36
1966,1965,phd,married,"R$ 84.618,00","8461800,00%",0,0,,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60
6864,1989,master,divorced,"R$ 10.979,00","1097900,00%",0,0,,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36
3033,1963,master,together,"R$ 38.620,00","3862000,00%",0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62
5710,1970,graduation,together,"R$ 40.548,00","4054800,00%",0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55
7373,1952,phd,divorced,"R$ 46.610,00","4661000,00%",0,2,,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73
8755,1946,master,married,"R$ 68.657,00","6865700,00%",0,0,,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79
10738,1951,master,single,"R$ 49.389,00","4938900,00%",1,1,,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74
4339,1970,phd,married,"R$ 67.353,00","6735300,00%",0,1,,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55
10755,1976,2n cycle,married,"R$ 23.718,00","2371800,00%",1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49
8595,1973,graduation,widow,"R$ 42.429,00","4242900,00%",0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52
2968,1943,phd,divorced,"R$ 48.948,00","4894800,00%",0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82
8601,1980,graduation,married,"R$ 80.011,00","8001100,00%",0,1,,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45
503,1985,master,married,"R$ 20.559,00","2055900,00%",1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40
8430,1957,graduation,together,"R$ 21.994,00","2199400,00%",0,1,,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68
7281,1959,phd,single,,,0,0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,66
2139,1975,master,married,"R$ 7.500,00","750000,00%",1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50
1371,1976,graduation,single,"R$ 79.941,00","7994100,00%",0,0,,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49
9909,1996,2n cycle,married,"R$ 7.500,00","750000,00%",0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29
7286,1968,graduation,together,"R$ 41.728,00","4172800,00%",1,0,,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57
7244,1951,graduation,single,,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,74
6566,1954,phd,married,"R$ 72.550,00","7255000,00%",1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71
8614,1957,graduation,widow,"R$ 65.486,00","6548600,00%",0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68
4114,1964,master,married,"R$ 79.143,00","7914300,00%",0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61
1331,1977,graduation,single,"R$ 35.790,00","3579000,00%",1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48
2225,1977,graduation,divorced,"R$ 82.582,00","8258200,00%",0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48
9381,1978,graduation,married,"R$ 66.373,00","6637300,00%",1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47
6260,1955,master,together,"R$ 82.384,00","8238400,00%",0,0,,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70
10383,1966,graduation,divorced,"R$ 70.287,00","7028700,00%",0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59
7437,1988,graduation,single,"R$ 27.938,00","2793800,00%",1,0,,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37
8557,1982,graduation,single,,,1,0,,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,43
8375,1968,phd,married,"R$ 55.954,00","5595400,00%",0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57
6853,1982,master,single,"R$ 75.777,00","7577700,00%",0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43
3076,1975,graduation,together,"R$ 66.653,00","6665300,00%",1,1,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50
1012,1952,graduation,single,"R$ 61.823,00","6182300,00%",0,1,,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73
6518,1951,phd,widow,"R$ 67.680,00","6768000,00%",0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74
4137,1948,graduation,together,"R$ 70.666,00","7066600,00%",0,0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77
8082,1971,graduation,married,"R$ 25.721,00","2572100,00%",1,0,,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54
1386,1967,graduation,together,"R$ 32.474,00","3247400,00%",1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58
9369,1979,2n cycle,single,"R$ 88.194,00","8819400,00%",0,1,,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46
4477,1958,graduation,together,"R$ 69.096,00","6909600,00%",0,1,,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67
1357,1970,graduation,together,"R$ 74.854,00","7485400,00%",1,2,2013-08-04,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55
1402,1954,master,married,"R$ 66.991,00","6699100,00%",0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71
10629,1973,2n cycle,married,,,1,0,,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,52
6312,1959,graduation,married,"R$ 65.031,00","6503100,00%",0,1,,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66
8132,1975,phd,married,"R$ 60.631,00","6063100,00%",1,1,2013-05-04,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50
1050,1952,graduation,married,"R$ 28.332,00","2833200,00%",0,0,,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73
5846,1977,graduation,divorced,"R$ 40.246,00","4024600,00%",1,0,,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48
1859,1972,master,married,"R$ 75.251,00","7525100,00%",0,0,,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53
7503,1976,graduation,single,"R$ 75.825,00","7582500,00%",0,0,2012-12-10,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49
10401,1976,2n cycle,together,"R$ 26.326,00","2632600,00%",0,0,2013-04-09,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49
1618,1965,graduation,together,"R$ 56.046,00","5604600,00%",0,0,2013-02-01,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60
3332,1985,graduation,single,"R$ 29.760,00","2976000,00%",1,0,,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40
2261,1969,graduation,married,"R$ 26.304,00","2630400,00%",1,0,,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56
5346,1973,2n cycle,married,"R$ 23.559,00","2355900,00%",1,0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52
4119,1963,master,together,"R$ 38.620,00","3862000,00%",0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62
535,1987,graduation,divorced,"R$ 81.361,00","8136100,00%",0,0,,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38
5268,1960,graduation,married,"R$ 29.440,00","2944000,00%",1,1,2013-11-08,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65
273,1970,master,married,"R$ 36.138,00","3613800,00%",1,1,,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55
4452,1957,graduation,single,"R$ 50.388,00","5038800,00%",0,1,,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68
8504,1973,graduation,married,"R$ 79.593,00","7959300,00%",0,0,2014-12-05,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52
771,1967,graduation,together,"R$ 54.178,00","5417800,00%",0,1,,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58
8996,1957,phd,married,,,2,1,,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,68
9235,1957,graduation,single,,,1,1,,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,68
5798,1973,master,together,,,0,0,,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,52
11178,1972,master,single,"R$ 42.394,00","4239400,00%",1,0,,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53
2230,1970,phd,married,"R$ 23.626,00","2362600,00%",1,0,,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55
7516,1983,graduation,married,"R$ 30.096,00","3009600,00%",1,0,,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42
7247,1960,graduation,widow,"R$ 47.916,00","4791600,00%",0,1,,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65
11100,1972,graduation,divorced,"R$ 51.813,00","5181300,00%",1,1,2013-11-04,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53
4646,1951,2n cycle,married,"R$ 78.497,00","7849700,00%",0,0,2013-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74
3037,1983,phd,married,"R$ 50.150,00","5015000,00%",0,0,,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42
1473,1960,2n cycle,single,"R$ 47.823,00","4782300,00%",0,1,,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65
1016,1959,phd,single,"R$ 34.554,00","3455400,00%",0,1,,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66
4518,1979,graduation,together,"R$ 85.693,00","8569300,00%",0,1,,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46
9370,1945,phd,married,"R$ 65.846,00","6584600,00%",0,0,,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80
8908,1959,graduation,married,"R$ 87.195,00","8719500,00%",0,0,2014-08-05,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,66
8373,1979,basic,together,"R$ 24.594,00","2459400,00%",1,0,2013-10-12,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46
7533,1964,graduation,married,"R$ 49.096,00","4909600,00%",1,1,,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,61
2683,1969,graduation,married,"R$ 52.413,00","5241300,00%",0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,56
3629,1978,graduation,single,"R$ 38.557,00","3855700,00%",1,0,,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,47
10991,1960,master,married,"R$ 89.058,00","8905800,00%",0,0,2012-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,65
5077,1979,graduation,together,"R$ 77.298,00","7729800,00%",0,1,2013-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,46
7431,1991,phd,single,"R$ 68.126,00","6812600,00%",0,0,2012-10-11,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,34
3267,1963,master,together,"R$ 57.288,00","5728800,00%",0,1,,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,62
999,1991,graduation,single,"R$ 86.037,00","8603700,00%",0,0,2013-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,34
9215,1980,phd,married,"R$ 43.974,00","4397400,00%",1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,45
2286,1962,graduation,single,"R$ 50.785,00","5078500,00%",1,1,2013-10-09,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,63
1592,1970,graduation,married,"R$ 90.765,00","9076500,00%",0,0,,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,55
367,1978,2n cycle,married,"R$ 36.550,00","3655000,00%",1,0,,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,47
5234,1967,2n cycle,together,"R$ 30.753,00","3075300,00%",1,1,2013-11-07,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,58
9862,1969,graduation,together,"R$ 21.918,00","2191800,00%",1,0,,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,56
9805,1953,master,together,"R$ 56.129,00","5612900,00%",0,1,,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,72
6205,1967,master,single,"R$ 32.557,00","3255700,00%",1,0,,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,58
8442,1985,master,married,"R$ 19.510,00","1951000,00%",2,0,2013-04-09,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,40
7386,1976,graduation,divorced,"R$ 30.992,00","3099200,00%",1,0,,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,49
7215,1983,graduation,single,"R$ 101.970,00","10197000,00%",0,0,2013-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,42
1491,1965,2n cycle,together,"R$ 71.488,00","7148800,00%",0,0,,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,60
11071,1984,graduation,single,"R$ 79.607,00","7960700,00%",0,0,,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,41
3381,1953,master,married,"R$ 54.348,00","5434800,00%",1,1,2014-08-06,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,72
8268,1961,phd,married,,,0,1,2013-11-07,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,64
11051,1956,phd,together,"R$ 77.376,00","7737600,00%",1,1,2014-10-05,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,69
8026,1952,graduation,married,"R$ 62.998,00","6299800,00%",0,1,,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,73
433,1958,master,alone,"R$ 61.331,00","6133100,00%",1,1,2013-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,67
9597,1969,graduation,married,"R$ 73.448,00","7344800,00%",0,0,2014-10-02,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,56
1295,1963,graduation,married,,,0,1,2013-11-08,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,62
5290,1964,phd,married,"R$ 41.551,00","4155100,00%",1,1,,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,61
1685,1967,phd,together,"R$ 62.981,00","6298100,00%",0,0,,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,58
5342,1976,basic,divorced,"R$ 9.548,00","954800,00%",1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,49
9579,1959,phd,married,"R$ 33.762,00","3376200,00%",2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,66
7660,1973,phd,alone,"R$ 35.860,00","3586000,00%",1,1,,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,52
1461,1965,phd,divorced,"R$ 36.921,00","3692100,00%",1,1,,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,60
821,1992,master,single,"R$ 92.859,00","9285900,00%",0,0,,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,33
11084,1976,master,together,"R$ 65.104,00","6510400,00%",0,1,,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,49
8690,1962,graduation,married,"R$ 86.111,00","8611100,00%",0,0,,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,63
2937,1974,phd,single,"R$ 68.352,00","6835200,00%",0,1,,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,51
9701,1988,graduation,together,"R$ 41.883,00","4188300,00%",1,0,,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,37
9949,1976,graduation,married,"R$ 59.809,00","5980900,00%",0,2,,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,49
10837,1975,graduation,married,"R$ 23.957,00","2395700,00%",1,0,,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,50
3120,1981,graduation,together,"R$ 38.547,00","3854700,00%",1,0,,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,44
5885,1973,2n cycle,married,"R$ 35.688,00","3568800,00%",2,1,,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,52
4050,1966,master,married,"R$ 49.605,00","4960500,00%",0,0,,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,59
3830,1953,master,married,"R$ 59.354,00","5935400,00%",0,2,,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,72
7987,1969,graduation,married,"R$ 65.747,00","6574700,00%",0,1,2014-07-03,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,56
7798,1972,2n cycle,together,"R$ 46.344,00","4634400,00%",0,1,,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,53
92,1988,graduation,alone,"R$ 34.176,00","3417600,00%",1,0,2014-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,37
7055,1952,phd,together,"R$ 61.010,00","6101000,00%",0,1,2012-09-10,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,73
10240,1949,graduation,together,"R$ 69.372,00","6937200,00%",0,0,,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,76
3025,1958,graduation,single,"R$ 49.967,00","4996700,00%",0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,67
9283,1978,graduation,single,"R$ 60.199,00","6019900,00%",1,2,2013-12-09,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,47
9970,1977,graduation,together,"R$ 55.375,00","5537500,00%",0,1,,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,48
2730,1955,graduation,single,"R$ 80.317,00","8031700,00%",0,0,,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,70
2795,1958,master,single,"R$ 30.523,00","3052300,00%",2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,67
9260,1945,phd,married,"R$ 70.356,00","7035600,00%",0,0,2012-05-11,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,80
8182,1984,graduation,married,"R$ 23.228,00","2322800,00%",1,0,2014-05-01,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,41
10095,1975,phd,divorced,"R$ 74.165,00","7416500,00%",0,0,2013-01-05,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,50
8475,1973,phd,married,"R$ 157.243,00","15724300,00%",0,1,2014-01-03,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,52
4370,1966,graduation,together,"R$ 43.482,00","4348200,00%",2,1,,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,59
10573,1953,graduation,divorced,"R$ 62.551,00","6255100,00%",0,0,,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,72
3712,1959,graduation,divorced,"R$ 52.332,00","5233200,00%",0,0,,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,66
